interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4,ending_inventory_kg,ACTIVE_PATHS,5854,371.509143404,56.7621072035,0.74187741584,370.055063669,372.963223139,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4_Site1,ending_inventory_kg,ACTIVE_PATHS,5854,164.325562476,29.5261134741,0.38590457337,163.569189512,165.08193544,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4_Site2,ending_inventory_kg,ACTIVE_PATHS,5854,87.7141770777,25.9950359656,0.339753597196,87.0482600272,88.3800941282,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4_Site3,ending_inventory_kg,ACTIVE_PATHS,5854,41.4008932276,22.2208954534,0.290425801803,40.831658656,41.9701277991,,
NORMAL_MEAN_95,Stage89H_INVENTORY_BY_STAGE,Stage4_Site4,ending_inventory_kg,ACTIVE_PATHS,5854,78.0685106227,20.0088970571,0.26151511235,77.5559410025,78.5810802429,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5,production_kg,ACTIVE_PATHS,2581,32.3878326122,39.1500342346,0.770616216535,30.8774248278,33.8982403966,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5,cumulative_production_kg,ACTIVE_PATHS,2581,425.781244268,60.8259586052,1.19727788248,423.434579619,428.127908918,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5,electrolyzer_utilization,ACTIVE_PATHS,2581,0.269628976126,0.325924360928,0.00641538641804,0.257054818747,0.282203133505,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5_Site1,production_kg,ACTIVE_PATHS,2581,16.5756760143,17.5565693804,0.345577656208,15.8983438082,17.2530082205,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5_Site2,production_kg,ACTIVE_PATHS,2581,4.77158722036,10.7283526116,0.211173314681,4.35768752359,5.18548691714,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage5_Site3,production_kg,ACTIVE_PATHS,2581,2.36544672255,5.93723022769,0.116866459614,2.13638846171,2.5945049834,,
