terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,1.0,63.0,321,0.0321,site4_last_active_production_kg,15.342176765174877,11.294812899961052,-4.047363865213798,-4.585532357244512,-3.509195373183085,NO
2.0,2.0,71.0,692,0.0692,production_kg,364.86779351792336,187.11444798559438,-177.75334553232932,-180.6695764082404,-174.83711465641824,NO
2.0,2.0,71.0,692,0.0692,stage1_production_kg,120.1199999999999,109.98000000000066,-10.140000000000112,-10.140000000000121,-10.140000000000104,NO
2.0,2.0,71.0,692,0.0692,stage2_6_production_kg,244.7477935179237,77.13444798559445,-167.61334553232925,-170.52957640824033,-164.69711465641817,NO
2.0,2.0,71.0,692,0.0692,last_active_stage_production_kg,61.029167639467545,29.81000629924863,-31.219161340218857,-33.03785348263627,-29.40046919780144,NO
2.0,2.0,71.0,692,0.0692,terminal_inventory_kg,336.84388906894236,157.4521944007795,-179.39169466816315,-182.1046611407133,-176.67872819561302,NO
2.0,2.0,71.0,692,0.0692,terminal_target_kg,22.911382173877808,0.0,-22.911382173877808,-22.91138217387783,-22.911382173877787,NO
2.0,2.0,71.0,692,0.0692,terminal_gap_kg,0.05865163100087251,0.0,-0.05865163100087251,-0.08612120507337773,-0.031182056928367296,NO
2.0,2.0,71.0,692,0.0692,terminal_surplus_kg,313.9325068950646,157.4521944007795,-156.48031249428493,-159.19327896683507,-153.7673460217348,NO
2.0,2.0,71.0,692,0.0692,ordinary_shortage_kg,2.051006668680377,0.4126575328466666,-1.63834913583371,-2.2554317896718423,-1.0212664819955775,NO
2.0,2.0,71.0,692,0.0692,htt_kg,28.94897574732106,18.4520762793774,-10.496899467943656,-12.319737356864513,-8.6740615790228,NO
2.0,2.0,71.0,692,0.0692,operating_cost_yuan,71778.33906146143,64758.938062120884,-7019.400999340507,-7141.300791791325,-6897.5012068896895,NO
2.0,2.0,71.0,692,0.0692,total_objective_yuan,71836.99069246229,64758.938062120884,-7078.05263034138,-7204.340237637048,-6951.765023045712,NO
2.0,2.0,71.0,692,0.0692,terminal_inventory_site1_kg,153.41802355499595,66.20246675247506,-87.21555680252084,-88.88382115590701,-85.54729244913466,NO
2.0,2.0,71.0,692,0.0692,terminal_target_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,2.0,71.0,692,0.0692,terminal_gap_site1_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,2.0,71.0,692,0.0692,terminal_surplus_site1_kg,153.41802355499595,66.20246675247506,-87.21555680252084,-88.88382115590701,-85.54729244913466,NO
2.0,2.0,71.0,692,0.0692,site1_cumulative_production_kg,165.2552001321663,81.58187036569717,-83.6733297664689,-85.08674767768875,-82.25991185524904,NO
2.0,2.0,71.0,692,0.0692,site1_last_active_production_kg,31.425225049069308,14.021002053258977,-17.40422299581051,-18.35976598429056,-16.44868000733046,NO
2.0,2.0,71.0,692,0.0692,terminal_inventory_site2_kg,78.92126887674775,22.4477453227643,-56.473523553983526,-58.24348918027342,-54.70355792769363,NO
2.0,2.0,71.0,692,0.0692,terminal_target_site2_kg,18.001800181105892,0.0,-18.001800181105892,-18.0018001811059,-18.001800181105885,NO
2.0,2.0,71.0,692,0.0692,terminal_gap_site2_kg,0.022996109395204835,0.0,-0.022996109395204835,-0.04370212906685837,-0.002290089723551301,NO
2.0,2.0,71.0,692,0.0692,terminal_surplus_site2_kg,60.94246480503699,22.4477453227643,-38.494719482272735,-40.261771419525886,-36.727667545019585,NO
2.0,2.0,71.0,692,0.0692,site2_cumulative_production_kg,78.50066549212843,32.859372400936316,-45.641293091192196,-46.65958471839052,-44.62300146399387,NO
2.0,2.0,71.0,692,0.0692,site2_last_active_production_kg,10.149119234976299,2.148843011323405,-8.000276223652905,-8.791111606158243,-7.209440841147568,NO
2.0,2.0,71.0,692,0.0692,terminal_inventory_site3_kg,21.508905909703692,25.676609315469754,4.167703405766042,2.8191472640911086,5.516259547440974,NO
2.0,2.0,71.0,692,0.0692,terminal_target_site3_kg,4.909581992772129,0.0,-4.909581992772129,-4.909581992772131,-4.909581992772126,NO
2.0,2.0,71.0,692,0.0692,terminal_gap_site3_kg,0.03565552160566766,0.0,-0.03565552160566766,-0.05395816605085632,-0.017352877160478994,NO
2.0,2.0,71.0,692,0.0692,terminal_surplus_site3_kg,16.634979438537204,25.676609315469754,9.041629876932543,7.694566343185735,10.388693410679352,NO
2.0,2.0,71.0,692,0.0692,site3_cumulative_production_kg,41.40641606511096,25.519509249642,-15.88690681546896,-16.689509673318277,-15.08430395761964,NO
2.0,2.0,71.0,692,0.0692,site3_last_active_production_kg,4.735519431737631,3.040599418438578,-1.6949200132990534,-2.1643977911507215,-1.2254422354473855,NO
